District,Member,Party,Race,Image Link,Voter Margin
31,Khaleel Anderson,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Khaleel-Anderson.jpg,1
32,Vivian Cook,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Vivian-Cook.jpg,0.85
33,Clyde Vanel,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Clyde_Vanel.png,1
34,Jessica González-Rojas,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/_Jessica-GonzalezRojas_.jpg,1
35,Jeffrion Aubry,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JeffrionAubry.jpg,1
36,Zohran Kwame Mamdani,Democratic,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Zohran-Kwame-Mamdani.jpg,1
37,Juan Ardila,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JuanArdila.jpg,1
38,Jenifer Rajkumar,Democratic,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/_Jenifer-Rajkumar_.jpg,1
39,Catalina Cruz,Democratic,Hispanic,https://nyassembly.gov/write/upload/member_files/039/headshot/039_250.jpg?hst=1683131280,1
40,Ron Kim,Democratic,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/RonKim.jpg,0.519
41,Helene Weinstein,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/HeleneWeinstein.jpg,0.775
42,Rodneyse Bichotte Hermelyn,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/RodneyseBichotte2.png,1
43,Brian A. Cunningham,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Brian-Cunningham.jpg,1
44,Robert C. Carroll,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Robert-Carroll.jpg,0.86
45,Michael Novakhov,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/MichaelNovakhov.jpg,0.603
46,Alec Brook-Krasny,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AlecBrookKrasnyNY.jpg,0.515
47,William Colton,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/William-Colton.jpg,0.545
48,Simcha Eichenstein,Democratic,White,https://nyassembly.gov/write/upload/member_files/048/header_headshot/048.png?hhst=1662743874,0.954
49,Lester Chang,Republican,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/LesterChang.jpg,0.524
50,Emily Gallagher,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/EmilyGallagher.jpg,1
51,Marcela Mitaynes,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Marcela-Mitaynes.jpg,0.788
52,Jo Anne Simon,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jo_Anne_Simon.jpg,0.92
53,Maritza Davila,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Maritza-Davila.jpg,1
54,Erik Dilan,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Erik-Dilan.jpg,0.864
55,Latrice Walker,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Latrice_Monique_Walker.jpg,0.931
56,Stefani Zinerman,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Stefani-Zinerman.jpg,1
57,Phara Souffrant Forrest,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Phara-Souffrant-Forrest.jpg,1
58,Monique Chandler-Waterman,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Monique-ChandlerWaterman.PNG,0.95
59,Jaime Williams,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JaimeWilliams.jpg,1
60,Nikki Lucas,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Nikki_Lucas_20230523_085958.jpg,0.938
61,Charles Fall,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Charles_Fall_61AD.png,1
62,Michael Reilly,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/20181027_015615.jpg,1
63,Samuel Pirozzolo,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/SamPirozzoloNY.jpg,0.548
64,Michael Tannousis,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael-Tannousis.jpg,1
65,Grace Lee,Democratic,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/GraceLee.jpg,0.76
66,Deborah Glick,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Deborah-Glick.jpg,1
67,Linda Rosenthal,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/LindaRosenthal.jpg,1
68,Eddie Gibbs,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Eddie-Gibbs.jpg,0.862
69,Daniel O'Donnell,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Daniel-ODonnell.jpg,0.903
70,Inez Dickens,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Inez_Dickens.png,0.928
71,Alfred Taylor,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Alfred_Taylor.jpg,1
72,Manny De Los Santos,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Manny-De-Los-Santos.jpg,1
73,Alex Bores,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/abores.jpeg,0.739
74,Harvey Epstein,Democratic,White,https://nyassembly.gov/write/upload/member_files/074/header_headshot/074_250.png?hhst=1711395438,0.83
75,Tony Simone,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/tony_simoneny.png,0.823
76,Rebecca Seawright,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Rebecca_Seawright_20230523_085906.jpg,1
77,Landon Dais,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Rebecca_Seawright_20230523_085906.jpg,0.863
78,George Alvarez,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/GeorgeAlvarez.jpg,0.806
79,Chantel Jackson,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/_Chantel-Jackson_.jpg,0.871
80,John Zaccaro Jr.,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JohnZaccaro.jpg,0.694
81,Jeffrey Dinowitz,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jeffrey_Dinowitz2.jpg,0.757
82,Michael Benedetto,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael_Benedetto2.jpg,0.663
83,Carl Heastie,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Carl_Heastie.jpg,0.927
84,Amanda Septimo,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/_Amanda-Septimo_.jpg,0.834
85,Kenneth Burgos,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kenny-Burgos.jpg,0.848
86,Yudelka Tapia,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Yudelka-Tapia.jpg,0.828
87,Karines Reyes,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Karines_Reyes123.jpeg,0.828
88,Amy Paulin,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Amy_Paulin.jpg,0.641
89,J. Gary Pretlow,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/J._Gary_Pretlow.jpg,0.911
90,Nader Sayegh,Democratic,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Sayegh_Dr.-Nader.jpg,0.527
91,Steven Otis,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Steven_Otis.jpg,1
92,Maryjane Shimsky,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/MaryjaneShimsky.jpg,0.66
93,Chris Burdick,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Chris-Burdick.jpg,0.631
94,Matthew Slater,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/MattSlater.jpg,0.626
95,Dana Levenberg,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DanaLevenberg.jpg,0.624
96,Kenneth Zebrowski,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kenneth-Zebrowski.jpg,0.583
97,John W. McGowan,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/jmcgowan.jpeg,0.669
98,Karl Brabenec,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Karl_Brabenec.jpg,0.641
99,Christopher Eachus,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Christopher_Eachus.png,0.501
100,Aileen Gunther,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Aileen_Gunther.jpg,0.566
101,Brian Maher,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/BrianMaher.jpg,0.625
102,Christopher Tague,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Chris_Tague.jpg,0.653
103,Sarahana Shrestha,Democratic,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Sarahana_Shrestha.jpeg,0.606
104,Jonathan Jacobson,Democratic,White,https://nyassembly.gov/write/upload/member_files/104/header_headshot/104_250.png?hhst=1662990859,1
105,Anil Beephan Jr.,Republican,Asian,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Anil_Beephan.jpg,0.602
106,Didi Barrett,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DidiBarrett.jpg,0.544
107,Scott H. Bendett,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Scott-Bendett.jpg,1
108,John McDonald III,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/John_McDonald.jpg,1
109,Patricia Fahy,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Patricia_Fahy.jpg,0.744
110,Phil Steck,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Phil-Steck.jpg,0.571
111,Angelo Santabarbara,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AngeloSantabarbara.jpg,0.543
112,Mary Beth Walsh,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Mary_Beth_Walsh.png,0.602
113,Carrie Woerner,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/CarrieWoerner.jpg,0.53
114,Matthew Simpson,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Matthew-Simpson.jpg,1
115,D. Billy Jones,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Billy_Jones.png,0.627
116,Scott Gray,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Scott_Gray.jpg,0.705
117,Kenneth Blankenbush,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/KenBlankenbush.jpg,1
118,Robert Smullen,Republican,White,https://nyassembly.gov/write/upload/member_files/118/header_headshot/118.png?hhst=1662991266,1
119,Marianne Buttenschon,Democratic,White,https://nyassembly.gov/write/upload/member_files/119/header_headshot/119_250.png?hhst=1684937725,0.563
120,William Barclay,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/WilliamBarclay.jpg,1
121,Joe Angelino,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JoeAngelino1.jpg,1
122,Brian Miller,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Brian_Miller.png,0.632
123,Donna Lupardo,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Donna_Lupardo_20230531_084500.jpg,0.55
124,Christopher Friend,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Christopher_Friend.jpg,1
125,Anna Kelles,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Anna_Kelles.jpg,1
126,John Lemondes Jr.,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/John-Lemondes.jpg,0.582
127,Al Stirpe,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Al_Stirpe.jpg,0.554
128,Pamela Hunter,Democratic,Black,https://nyassembly.gov/write/upload/member_files/128/header_headshot/128.png?hhst=1662991548,0.606
129,William Magnarelli,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/William-Magnarelli.jpg,1
130,Brian Manktelow,Republican,White,https://nyassembly.gov/write/upload/member_files/130/header_headshot/130.png?hhst=1662991604,0.663
131,Jeff Gallahan,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jeff-Gallahan.jpg,1
132,Philip Palmesano,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/PhilipPalmesano.jpg,1
133,Marjorie Byrnes,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Marjorie-Byrnes.png,0.677
134,Josh Jensen,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Josh-Jensen.jpg,1
135,Jennifer Lunsford,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jenlunsford.jpg,0.552
136,Sarah Clark,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Sarah_ClarkNY.jpg,0.663
137,Demond Meeks,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Demond-Meeks.jpg,0.676
138,Harry Bronson,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Harry-Bronson.jpg,0.593
139,Stephen Hawley,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/StephenHawley.jpg,0.77
140,William Conrad,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/William_Conrad_20230521_074918.jpg,0.589
141,Crystal Peoples-Stokes,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Crystal-Peoples-Stokes.jpg,1
142,Patrick Burke,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Patrick_Burke_20230521_075010.jpg,0.531
143,Monica P. Wallace,Democratic,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Monica_Wallace.png,0.526
144,Michael J. Norris,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Michael_Norris.png,1
145,Angelo J. Morinello,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Angelo_Morinello_portrait.png,0.636
146,Karen McMahon,Democratic,White,https://nyassembly.gov/write/upload/member_files/146/header_headshot/146.png?hhst=1662992046,0.581
147,David DiPietro,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/David_DiPietro.jpg,1
148,Joseph Giglio,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JosephGiglio.jpg,1
149,Jonathan Rivera,Democratic,Hispanic,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jonathan_Rivera_20230523_085926.jpg,0.59
150,Andrew Goodell,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Andrew-Goodell.jpg,0.725
